User ID,Timestamp,Channel,Campaign,Conversion
89180,10-02-2025 01:11,Direct Traffic,-,No
72532,10-02-2025 14:00,Search Ads,-,Yes
53707,10-02-2025 04:51,Referral,Retargeting,Yes
57726,11-02-2025 20:24,Direct Traffic,-,Yes
90253,10-02-2025 03:11,Direct Traffic,-,Yes
57564,10-02-2025 05:37,Direct Traffic,-,No
29113,10-02-2025 04:09,Direct Traffic,-,Yes
94722,10-02-2025 14:02,Referral,-,No
62079,10-02-2025 10:24,Email,Winter Sale,No
63416,10-02-2025 10:38,Display Ads,Discount Offer,No
89732,10-02-2025 09:27,Referral,Discount Offer,No
15395,11-02-2025 07:00,Referral,Brand Awareness,Yes
33578,11-02-2025 06:49,Referral,Retargeting,Yes
57627,11-02-2025 23:05,Display Ads,-,Yes
92974,11-02-2025 04:58,Social Media,Discount Offer,Yes
23599,11-02-2025 05:59,Direct Traffic,-,No
17614,10-02-2025 19:07,Search Ads,Retargeting,No
15491,10-02-2025 16:33,Social Media,Retargeting,No
69460,10-02-2025 16:55,Search Ads,Winter Sale,No
35837,11-02-2025 04:46,Social Media,-,No
64703,10-02-2025 00:09,Referral,Retargeting,Yes
74876,10-02-2025 14:42,Search Ads,Discount Offer,No
14398,11-02-2025 15:36,Referral,Discount Offer,Yes
73721,11-02-2025 12:51,Search Ads,Winter Sale,No
89340,10-02-2025 23:25,Direct Traffic,-,No
94174,10-02-2025 21:36,Display Ads,Brand Awareness,Yes
72741,11-02-2025 13:15,Display Ads,-,No
17708,10-02-2025 14:13,Direct Traffic,-,No
67722,10-02-2025 19:28,Display Ads,Brand Awareness,No
90253,11-02-2025 12:06,Direct Traffic,-,Yes
16311,11-02-2025 22:17,Social Media,-,Yes
32391,11-02-2025 11:41,Search Ads,-,No
73105,11-02-2025 11:11,Display Ads,-,Yes
79941,11-02-2025 15:18,Email,Brand Awareness,No
96015,10-02-2025 07:40,Search Ads,Brand Awareness,No
54874,10-02-2025 20:07,Search Ads,Retargeting,No
37162,11-02-2025 23:24,Direct Traffic,-,No
58969,10-02-2025 20:31,Display Ads,Brand Awareness,No
67211,11-02-2025 05:41,Search Ads,New Product Launch,No
81847,11-02-2025 01:51,Social Media,Brand Awareness,Yes
90088,10-02-2025 03:51,Social Media,New Product Launch,No
95590,11-02-2025 15:21,Referral,Discount Offer,Yes
21995,11-02-2025 05:24,Direct Traffic,-,No
30155,10-02-2025 21:55,Social Media,-,No
85049,11-02-2025 04:51,Social Media,Retargeting,Yes
67211,11-02-2025 12:24,Social Media,Winter Sale,Yes
83035,11-02-2025 02:33,Email,Winter Sale,No
73105,11-02-2025 17:13,Display Ads,-,Yes
63337,11-02-2025 22:03,Search Ads,New Product Launch,No
26185,11-02-2025 16:40,Social Media,Winter Sale,No
58797,10-02-2025 20:15,Social Media,-,No
67935,10-02-2025 22:15,Display Ads,Winter Sale,Yes
81888,11-02-2025 00:28,Email,Retargeting,Yes
42030,11-02-2025 06:17,Search Ads,New Product Launch,No
94486,11-02-2025 11:12,Social Media,Retargeting,No
55829,11-02-2025 04:46,Social Media,Retargeting,Yes
50840,10-02-2025 17:42,Display Ads,Discount Offer,Yes
76871,10-02-2025 09:24,Direct Traffic,-,No
25845,10-02-2025 00:34,Referral,Retargeting,Yes
32160,11-02-2025 07:51,Referral,Discount Offer,No
43175,11-02-2025 22:13,Email,Discount Offer,Yes
83965,10-02-2025 12:36,Direct Traffic,-,No
47781,10-02-2025 03:03,Direct Traffic,-,Yes
45812,11-02-2025 06:37,Display Ads,Retargeting,Yes
45622,11-02-2025 18:43,Social Media,New Product Launch,Yes
55079,11-02-2025 21:05,Direct Traffic,-,Yes
60226,10-02-2025 06:16,Search Ads,New Product Launch,No
52130,11-02-2025 19:13,Direct Traffic,-,No
96142,10-02-2025 21:25,Search Ads,Brand Awareness,Yes
69602,10-02-2025 20:33,Referral,Retargeting,No
61352,10-02-2025 12:07,Social Media,Retargeting,Yes
93270,10-02-2025 00:19,Email,Discount Offer,Yes
35887,10-02-2025 14:37,Social Media,Discount Offer,Yes
74629,10-02-2025 05:43,Direct Traffic,-,Yes
37380,10-02-2025 07:38,Display Ads,Brand Awareness,No
10698,10-02-2025 02:15,Referral,New Product Launch,No
67893,11-02-2025 23:59,Search Ads,New Product Launch,Yes
78241,11-02-2025 02:04,Display Ads,New Product Launch,Yes
88708,10-02-2025 01:52,Display Ads,New Product Launch,No
18572,11-02-2025 12:59,Direct Traffic,-,No
43361,10-02-2025 00:16,Search Ads,Winter Sale,No
67809,11-02-2025 09:45,Referral,Retargeting,No
18348,10-02-2025 09:50,Display Ads,Winter Sale,Yes
64907,10-02-2025 14:12,Email,Discount Offer,Yes
28998,11-02-2025 23:06,Email,Brand Awareness,No
55631,11-02-2025 19:24,Search Ads,New Product Launch,No
14398,10-02-2025 12:08,Direct Traffic,-,No
73835,10-02-2025 02:57,Direct Traffic,-,No
38175,11-02-2025 10:40,Social Media,Discount Offer,No
38857,10-02-2025 20:17,Search Ads,Retargeting,Yes
23279,11-02-2025 20:11,Email,Retargeting,Yes
82446,11-02-2025 02:49,Social Media,Brand Awareness,No
73029,10-02-2025 10:16,Email,-,No
64228,10-02-2025 14:34,Email,Retargeting,Yes
87642,10-02-2025 11:20,Search Ads,Discount Offer,No
11780,10-02-2025 15:07,Display Ads,Brand Awareness,No
30429,11-02-2025 02:34,Display Ads,-,No
11209,10-02-2025 22:14,Email,Winter Sale,No
51437,10-02-2025 22:29,Referral,Winter Sale,Yes
90848,10-02-2025 01:12,Referral,Retargeting,No
49394,11-02-2025 16:46,Email,Winter Sale,Yes
57108,10-02-2025 00:57,Direct Traffic,-,Yes
83035,11-02-2025 21:18,Email,Discount Offer,No
50295,10-02-2025 01:04,Social Media,Discount Offer,No
28194,10-02-2025 11:40,Social Media,Brand Awareness,Yes
40130,11-02-2025 01:58,Referral,Winter Sale,Yes
17879,11-02-2025 23:08,Referral,Retargeting,No
80960,11-02-2025 22:36,Search Ads,Retargeting,No
49913,10-02-2025 18:37,Email,Discount Offer,Yes
15418,11-02-2025 02:57,Email,New Product Launch,No
60973,10-02-2025 05:22,Referral,New Product Launch,No
22755,10-02-2025 09:50,Social Media,-,No
34938,10-02-2025 02:32,Direct Traffic,-,Yes
30521,10-02-2025 00:01,Display Ads,Discount Offer,Yes
78560,10-02-2025 09:46,Referral,Retargeting,No
42806,11-02-2025 05:45,Social Media,Winter Sale,No
54089,10-02-2025 21:42,Direct Traffic,-,Yes
35337,10-02-2025 16:30,Direct Traffic,-,Yes
28289,10-02-2025 22:34,Search Ads,New Product Launch,Yes
25172,11-02-2025 08:13,Referral,Brand Awareness,No
98219,10-02-2025 06:57,Search Ads,Retargeting,No
49456,11-02-2025 11:01,Referral,-,No
70378,10-02-2025 02:11,Email,Winter Sale,No
96740,10-02-2025 08:23,Display Ads,Winter Sale,Yes
97780,11-02-2025 19:48,Display Ads,-,Yes
72645,10-02-2025 09:04,Social Media,-,No
28589,11-02-2025 14:22,Search Ads,-,Yes
44303,11-02-2025 09:45,Social Media,Discount Offer,Yes
42970,11-02-2025 10:51,Referral,Brand Awareness,No
52689,10-02-2025 01:20,Referral,New Product Launch,No
83355,10-02-2025 15:11,Direct Traffic,-,Yes
56050,10-02-2025 11:50,Display Ads,Brand Awareness,Yes
71027,11-02-2025 06:13,Display Ads,New Product Launch,No
62697,10-02-2025 08:05,Email,New Product Launch,No
86014,11-02-2025 18:37,Referral,New Product Launch,Yes
57669,10-02-2025 05:31,Email,Brand Awareness,Yes
28047,11-02-2025 07:21,Email,Discount Offer,No
35598,11-02-2025 17:32,Display Ads,Winter Sale,Yes
68838,10-02-2025 20:10,Email,-,No
46506,10-02-2025 02:12,Display Ads,New Product Launch,Yes
56855,11-02-2025 20:48,Email,Winter Sale,No
28385,11-02-2025 13:26,Display Ads,Retargeting,Yes
69316,10-02-2025 22:13,Referral,Brand Awareness,No
85470,11-02-2025 22:42,Direct Traffic,-,No
32424,10-02-2025 01:27,Search Ads,Brand Awareness,No
95665,11-02-2025 17:01,Social Media,Brand Awareness,Yes
10255,10-02-2025 01:10,Social Media,New Product Launch,No
49673,11-02-2025 00:35,Search Ads,Winter Sale,Yes
67175,10-02-2025 13:06,Referral,Brand Awareness,No
26693,10-02-2025 18:50,Social Media,New Product Launch,Yes
69421,11-02-2025 13:01,Email,Brand Awareness,Yes
24765,10-02-2025 23:17,Display Ads,New Product Launch,Yes
28144,10-02-2025 17:52,Display Ads,Retargeting,No
57669,10-02-2025 14:09,Direct Traffic,-,No
62225,10-02-2025 17:08,Direct Traffic,-,No
38683,11-02-2025 04:02,Search Ads,Brand Awareness,No
32344,10-02-2025 19:33,Referral,Winter Sale,Yes
62422,11-02-2025 20:50,Direct Traffic,-,Yes
31278,11-02-2025 21:42,Search Ads,-,No
79091,11-02-2025 12:42,Email,-,Yes
25105,11-02-2025 02:44,Email,New Product Launch,No
46221,11-02-2025 12:50,Search Ads,Winter Sale,Yes
68891,10-02-2025 11:13,Referral,Brand Awareness,Yes
54874,10-02-2025 00:18,Email,Retargeting,No
38822,11-02-2025 23:09,Direct Traffic,-,No
67860,11-02-2025 21:55,Referral,Winter Sale,No
29015,10-02-2025 23:11,Email,Winter Sale,No
33189,10-02-2025 21:59,Referral,Discount Offer,No
27470,10-02-2025 03:00,Referral,Brand Awareness,Yes
74300,11-02-2025 22:48,Display Ads,New Product Launch,No
71932,10-02-2025 06:03,Social Media,-,Yes
37659,10-02-2025 08:16,Email,Winter Sale,Yes
97706,10-02-2025 02:18,Search Ads,Discount Offer,No
80739,10-02-2025 11:08,Referral,-,Yes
72532,10-02-2025 03:21,Display Ads,-,Yes
41901,11-02-2025 12:05,Display Ads,New Product Launch,No
76065,10-02-2025 05:50,Referral,Brand Awareness,Yes
62298,11-02-2025 04:42,Email,-,Yes
97844,10-02-2025 21:30,Display Ads,Discount Offer,Yes
34218,10-02-2025 14:43,Display Ads,New Product Launch,No
89800,10-02-2025 05:04,Email,Brand Awareness,No
34943,11-02-2025 10:17,Direct Traffic,-,Yes
15640,11-02-2025 02:22,Referral,Winter Sale,Yes
43603,11-02-2025 20:20,Email,New Product Launch,No
41941,11-02-2025 00:42,Direct Traffic,-,Yes
28297,10-02-2025 08:17,Referral,Brand Awareness,No
64781,11-02-2025 10:51,Referral,Brand Awareness,No
79163,11-02-2025 16:34,Social Media,Brand Awareness,Yes
76743,10-02-2025 02:09,Direct Traffic,-,No
40517,11-02-2025 19:12,Direct Traffic,-,No
98418,11-02-2025 10:14,Search Ads,Brand Awareness,No
76066,11-02-2025 14:53,Social Media,New Product Launch,Yes
65966,10-02-2025 20:56,Social Media,Winter Sale,Yes
16083,10-02-2025 10:06,Display Ads,-,No
25845,11-02-2025 02:58,Email,-,Yes
64032,11-02-2025 00:24,Email,-,Yes
52260,10-02-2025 12:50,Search Ads,Brand Awareness,No
84395,10-02-2025 22:21,Social Media,Brand Awareness,No
35789,10-02-2025 10:44,Direct Traffic,-,Yes
72415,11-02-2025 12:53,Direct Traffic,-,No
72077,10-02-2025 17:43,Email,-,No
86824,11-02-2025 09:21,Social Media,New Product Launch,No
54070,11-02-2025 11:01,Search Ads,Retargeting,Yes
91093,11-02-2025 15:57,Social Media,Retargeting,Yes
50176,10-02-2025 18:08,Display Ads,New Product Launch,Yes
37916,11-02-2025 00:29,Search Ads,Discount Offer,Yes
70222,11-02-2025 18:48,Search Ads,Brand Awareness,No
55513,10-02-2025 18:48,Direct Traffic,-,Yes
41115,11-02-2025 10:54,Referral,Discount Offer,No
37591,10-02-2025 11:25,Social Media,-,No
64747,11-02-2025 19:28,Search Ads,Discount Offer,Yes
11741,10-02-2025 23:08,Display Ads,Discount Offer,Yes
64742,10-02-2025 05:31,Referral,Brand Awareness,No
27814,11-02-2025 19:32,Referral,Winter Sale,No
86886,10-02-2025 03:11,Display Ads,-,No
62107,11-02-2025 09:05,Direct Traffic,-,No
33292,10-02-2025 21:20,Search Ads,Brand Awareness,Yes
22943,10-02-2025 20:48,Referral,Winter Sale,No
69192,11-02-2025 07:01,Social Media,Retargeting,Yes
96142,10-02-2025 20:29,Search Ads,Winter Sale,No
11661,11-02-2025 22:42,Display Ads,Brand Awareness,Yes
85049,10-02-2025 15:54,Referral,Retargeting,No
15259,10-02-2025 16:01,Direct Traffic,-,No
33255,10-02-2025 22:58,Email,Brand Awareness,Yes
67455,10-02-2025 15:58,Search Ads,New Product Launch,No
79019,11-02-2025 22:39,Display Ads,Retargeting,No
16255,10-02-2025 23:02,Social Media,Retargeting,No
31185,11-02-2025 01:16,Search Ads,Winter Sale,No
24014,11-02-2025 23:46,Email,Retargeting,Yes
16814,10-02-2025 19:15,Display Ads,Brand Awareness,No
35664,10-02-2025 05:30,Social Media,Winter Sale,Yes
95461,10-02-2025 12:54,Search Ads,Discount Offer,Yes
49375,10-02-2025 13:47,Social Media,Brand Awareness,Yes
35887,10-02-2025 15:59,Search Ads,New Product Launch,No
80259,10-02-2025 16:50,Direct Traffic,-,No
26511,10-02-2025 20:05,Direct Traffic,-,Yes
97446,10-02-2025 20:35,Display Ads,Winter Sale,No
22863,11-02-2025 00:23,Social Media,Brand Awareness,Yes
17784,10-02-2025 09:53,Email,Discount Offer,Yes
12275,11-02-2025 01:57,Email,Discount Offer,No
99782,10-02-2025 18:55,Search Ads,New Product Launch,Yes
65082,10-02-2025 17:15,Referral,Brand Awareness,Yes
62061,11-02-2025 18:51,Email,New Product Launch,No
85426,11-02-2025 12:37,Display Ads,-,No
86085,10-02-2025 07:19,Search Ads,Discount Offer,No
60022,11-02-2025 08:24,Direct Traffic,-,Yes
52397,10-02-2025 05:23,Search Ads,Winter Sale,No
12755,11-02-2025 16:54,Email,Discount Offer,No
78560,10-02-2025 07:58,Search Ads,Retargeting,No
38252,11-02-2025 12:29,Referral,Discount Offer,No
29719,10-02-2025 15:45,Social Media,Brand Awareness,No
23415,10-02-2025 02:47,Email,-,No
90548,11-02-2025 00:23,Direct Traffic,-,No
98152,11-02-2025 20:36,Social Media,Retargeting,Yes
73373,11-02-2025 00:17,Display Ads,Discount Offer,No
48639,11-02-2025 23:22,Email,New Product Launch,Yes
62843,11-02-2025 23:37,Display Ads,Brand Awareness,No
51664,11-02-2025 19:00,Social Media,-,Yes
58703,11-02-2025 00:58,Direct Traffic,-,No
24215,11-02-2025 22:05,Search Ads,Brand Awareness,No
45575,11-02-2025 15:08,Display Ads,-,No
34498,11-02-2025 14:25,Display Ads,Discount Offer,Yes
77091,11-02-2025 14:22,Display Ads,Brand Awareness,Yes
15233,10-02-2025 11:19,Search Ads,-,Yes
22741,10-02-2025 13:15,Email,Discount Offer,No
77184,11-02-2025 07:44,Display Ads,Discount Offer,No
51068,10-02-2025 19:43,Social Media,New Product Launch,No
44397,10-02-2025 11:03,Social Media,Retargeting,No
21910,11-02-2025 21:08,Referral,-,Yes
57372,11-02-2025 13:58,Social Media,-,No
19385,10-02-2025 09:34,Referral,New Product Launch,Yes
90632,10-02-2025 18:41,Search Ads,New Product Launch,No
79192,10-02-2025 23:30,Referral,New Product Launch,No
37386,11-02-2025 19:56,Direct Traffic,-,Yes
85049,11-02-2025 21:08,Search Ads,Brand Awareness,No
75328,11-02-2025 17:33,Social Media,Retargeting,No
39158,10-02-2025 16:51,Social Media,Retargeting,Yes
55745,10-02-2025 10:16,Referral,Brand Awareness,No
84203,10-02-2025 17:54,Social Media,-,Yes
40965,11-02-2025 17:37,Email,Retargeting,Yes
95461,10-02-2025 20:32,Referral,Winter Sale,No
85486,10-02-2025 13:01,Social Media,Brand Awareness,Yes
22773,10-02-2025 13:43,Social Media,Discount Offer,Yes
91904,10-02-2025 06:04,Email,-,Yes
25246,11-02-2025 13:24,Referral,-,No
54106,10-02-2025 10:39,Social Media,Brand Awareness,No
11741,11-02-2025 12:51,Referral,Discount Offer,No
10442,10-02-2025 19:54,Search Ads,Winter Sale,Yes
15891,11-02-2025 23:45,Direct Traffic,-,No
26541,11-02-2025 15:53,Email,Discount Offer,Yes
46911,10-02-2025 21:47,Search Ads,Brand Awareness,Yes
96598,10-02-2025 02:05,Search Ads,-,No
72959,10-02-2025 20:08,Direct Traffic,-,No
54070,11-02-2025 22:28,Direct Traffic,-,No
65082,11-02-2025 05:01,Direct Traffic,-,No
52320,11-02-2025 22:04,Search Ads,Discount Offer,No
75095,11-02-2025 17:13,Social Media,Retargeting,No
11831,10-02-2025 13:11,Social Media,Discount Offer,Yes
37382,10-02-2025 10:14,Display Ads,Retargeting,Yes
45750,10-02-2025 10:13,Display Ads,Brand Awareness,Yes
18298,10-02-2025 23:36,Search Ads,Brand Awareness,Yes
47795,11-02-2025 14:49,Social Media,Winter Sale,No
72028,10-02-2025 06:52,Social Media,Brand Awareness,Yes
85844,11-02-2025 02:33,Display Ads,Winter Sale,Yes
34498,10-02-2025 11:52,Referral,Brand Awareness,Yes
23781,10-02-2025 23:34,Social Media,Winter Sale,Yes
53293,11-02-2025 14:39,Direct Traffic,-,No
35006,11-02-2025 19:52,Direct Traffic,-,No
64767,10-02-2025 23:08,Social Media,Winter Sale,Yes
40517,11-02-2025 05:27,Display Ads,Brand Awareness,Yes
50839,10-02-2025 04:34,Referral,Discount Offer,No
37121,10-02-2025 23:04,Social Media,Discount Offer,No
72095,11-02-2025 03:45,Social Media,Winter Sale,No
27371,10-02-2025 15:45,Email,Retargeting,Yes
99093,11-02-2025 10:46,Direct Traffic,-,No
38468,10-02-2025 16:36,Direct Traffic,-,No
77184,11-02-2025 03:02,Referral,Retargeting,No
35409,11-02-2025 04:15,Email,Winter Sale,No
57564,10-02-2025 08:20,Direct Traffic,-,Yes
50653,10-02-2025 01:05,Direct Traffic,-,Yes
58748,10-02-2025 21:08,Referral,-,No
80527,11-02-2025 04:01,Social Media,-,No
65871,11-02-2025 02:24,Referral,Winter Sale,No
24876,10-02-2025 14:39,Search Ads,Brand Awareness,Yes
76689,11-02-2025 06:10,Display Ads,-,Yes
30460,10-02-2025 19:30,Search Ads,-,No
33843,11-02-2025 21:25,Referral,New Product Launch,Yes
84413,10-02-2025 13:21,Direct Traffic,-,Yes
46977,11-02-2025 04:20,Referral,Brand Awareness,Yes
79181,10-02-2025 08:13,Email,-,Yes
24594,10-02-2025 06:44,Email,Retargeting,No
75841,11-02-2025 12:29,Display Ads,-,Yes
78381,10-02-2025 05:51,Direct Traffic,-,No
14476,11-02-2025 00:36,Direct Traffic,-,No
92673,11-02-2025 16:09,Social Media,Retargeting,Yes
61368,11-02-2025 06:17,Social Media,Discount Offer,No
70850,11-02-2025 18:55,Display Ads,-,No
27925,10-02-2025 01:27,Social Media,-,No
47829,10-02-2025 16:10,Social Media,Brand Awareness,Yes
27106,11-02-2025 06:26,Direct Traffic,-,No
33292,10-02-2025 13:34,Email,Winter Sale,No
45981,11-02-2025 01:58,Direct Traffic,-,No
81190,10-02-2025 03:07,Display Ads,-,No
78646,11-02-2025 16:09,Display Ads,Brand Awareness,No
52236,11-02-2025 06:11,Display Ads,New Product Launch,No
78441,10-02-2025 20:02,Email,Brand Awareness,Yes
79883,11-02-2025 20:39,Referral,New Product Launch,Yes
91448,11-02-2025 22:32,Direct Traffic,-,No
61985,10-02-2025 00:39,Social Media,-,Yes
18995,10-02-2025 14:34,Direct Traffic,-,No
97844,11-02-2025 15:52,Social Media,Brand Awareness,No
94548,10-02-2025 08:16,Search Ads,Winter Sale,No
44400,11-02-2025 15:17,Social Media,New Product Launch,Yes
52553,11-02-2025 06:02,Referral,Discount Offer,No
79100,10-02-2025 16:34,Search Ads,New Product Launch,No
26511,10-02-2025 13:40,Email,Brand Awareness,Yes
34649,10-02-2025 17:05,Email,Brand Awareness,Yes
87191,11-02-2025 03:37,Email,New Product Launch,Yes
93431,11-02-2025 02:14,Social Media,-,No
11894,10-02-2025 03:13,Display Ads,Discount Offer,Yes
93328,10-02-2025 03:24,Search Ads,New Product Launch,No
83615,11-02-2025 07:56,Direct Traffic,-,Yes
76645,11-02-2025 11:34,Search Ads,Winter Sale,Yes
82497,10-02-2025 18:23,Direct Traffic,-,No
54877,11-02-2025 08:13,Referral,Brand Awareness,No
73527,11-02-2025 12:10,Display Ads,Winter Sale,No
21504,11-02-2025 22:51,Display Ads,Discount Offer,No
81847,10-02-2025 02:48,Search Ads,Brand Awareness,No
50636,11-02-2025 20:19,Search Ads,Discount Offer,No
93007,11-02-2025 23:36,Referral,Winter Sale,No
81446,11-02-2025 23:22,Display Ads,Discount Offer,No
78932,10-02-2025 12:21,Direct Traffic,-,Yes
76821,10-02-2025 16:13,Display Ads,Discount Offer,Yes
63990,11-02-2025 09:04,Referral,New Product Launch,Yes
82701,11-02-2025 07:29,Social Media,Winter Sale,No
46667,10-02-2025 07:17,Email,Brand Awareness,Yes
94486,11-02-2025 09:43,Social Media,Discount Offer,No
71911,11-02-2025 01:33,Referral,Retargeting,Yes
62107,10-02-2025 14:46,Display Ads,New Product Launch,No
43603,11-02-2025 19:36,Email,New Product Launch,No
29773,10-02-2025 21:11,Search Ads,Discount Offer,No
47152,11-02-2025 20:01,Email,Brand Awareness,No
21504,11-02-2025 08:49,Referral,Brand Awareness,No
38485,10-02-2025 11:04,Social Media,New Product Launch,Yes
64157,11-02-2025 03:27,Referral,Discount Offer,No
69192,11-02-2025 14:28,Search Ads,Discount Offer,No
26783,11-02-2025 07:27,Social Media,New Product Launch,No
75656,10-02-2025 07:24,Display Ads,Winter Sale,Yes
74513,11-02-2025 18:44,Email,-,No
81851,10-02-2025 17:10,Social Media,Discount Offer,Yes
17272,11-02-2025 19:12,Search Ads,Winter Sale,No
85470,11-02-2025 00:20,Email,New Product Launch,No
58238,10-02-2025 11:13,Direct Traffic,-,Yes
80551,11-02-2025 09:03,Social Media,Winter Sale,Yes
65497,11-02-2025 18:07,Direct Traffic,-,No
96934,10-02-2025 12:38,Email,Winter Sale,Yes
85725,10-02-2025 13:01,Direct Traffic,-,No
28144,10-02-2025 09:30,Social Media,New Product Launch,No
34310,10-02-2025 07:50,Social Media,Winter Sale,No
65207,10-02-2025 06:22,Social Media,New Product Launch,No
44397,11-02-2025 15:16,Email,Discount Offer,No
28297,10-02-2025 07:49,Display Ads,Discount Offer,No
20306,11-02-2025 07:47,Social Media,Retargeting,No
98237,11-02-2025 19:42,Display Ads,Winter Sale,Yes
63416,11-02-2025 23:59,Social Media,New Product Launch,No
78831,10-02-2025 14:49,Search Ads,Discount Offer,No
35337,10-02-2025 15:38,Email,New Product Launch,Yes
83481,11-02-2025 17:05,Display Ads,Retargeting,Yes
37559,10-02-2025 02:30,Direct Traffic,-,Yes
72636,10-02-2025 00:32,Search Ads,New Product Launch,No
11295,10-02-2025 05:48,Social Media,Brand Awareness,Yes
98670,11-02-2025 03:35,Search Ads,Discount Offer,Yes
77483,10-02-2025 03:02,Display Ads,Winter Sale,Yes
62843,11-02-2025 15:12,Email,Brand Awareness,No
64153,10-02-2025 02:39,Referral,Brand Awareness,No
36625,10-02-2025 16:14,Email,Brand Awareness,Yes
35980,10-02-2025 11:04,Direct Traffic,-,Yes
81847,10-02-2025 19:26,Search Ads,-,Yes
92988,11-02-2025 23:03,Referral,Retargeting,Yes
28265,10-02-2025 06:40,Display Ads,Brand Awareness,No
94932,11-02-2025 07:35,Direct Traffic,-,No
64541,11-02-2025 11:21,Display Ads,Discount Offer,No
15277,11-02-2025 16:45,Email,New Product Launch,No
35212,11-02-2025 12:31,Display Ads,Retargeting,Yes
31070,11-02-2025 21:33,Social Media,-,No
58703,10-02-2025 08:34,Social Media,Discount Offer,No
71306,11-02-2025 06:00,Social Media,Retargeting,Yes
64867,11-02-2025 02:22,Email,New Product Launch,No
21690,10-02-2025 14:08,Display Ads,Discount Offer,Yes
43094,11-02-2025 23:08,Email,Brand Awareness,Yes
86081,11-02-2025 14:10,Display Ads,New Product Launch,Yes
89239,11-02-2025 03:17,Email,New Product Launch,No
83312,10-02-2025 19:33,Email,Retargeting,Yes
85725,10-02-2025 00:30,Direct Traffic,-,Yes
69301,10-02-2025 15:40,Display Ads,Discount Offer,Yes
36375,11-02-2025 04:04,Display Ads,Brand Awareness,Yes
95960,11-02-2025 16:25,Social Media,Brand Awareness,Yes
64747,10-02-2025 06:06,Social Media,-,No
45315,11-02-2025 12:59,Display Ads,New Product Launch,Yes
80046,11-02-2025 18:12,Search Ads,-,Yes
80999,10-02-2025 13:36,Social Media,-,No
87642,11-02-2025 05:57,Email,New Product Launch,No
60881,11-02-2025 14:54,Direct Traffic,-,No
25147,11-02-2025 17:45,Display Ads,Retargeting,No
86112,11-02-2025 21:47,Search Ads,Brand Awareness,No
28729,11-02-2025 02:31,Direct Traffic,-,Yes
90897,11-02-2025 12:06,Display Ads,-,Yes
39379,11-02-2025 00:50,Display Ads,Retargeting,No
80602,10-02-2025 00:02,Display Ads,-,No
88293,10-02-2025 05:45,Social Media,Retargeting,No
